k,WSS,DB,PAC
2,8413.862527771624,1.3681689878016252,0.44459041541888683
3,7477.082919141631,1.8299063448447506,0.44045880218575667
4,6606.932172934285,1.3082402056735374,0.5523877134145512
5,5784.331313083945,1.0746215243669455,0.4825800415065293
6,5014.450677517128,1.215900657207111,0.360424095546616
7,4418.296133665101,1.1006989306051256,0.3563196818739409
8,3869.5964776085857,1.0596612446416704,0.33317557588269375
9,3355.380443323096,1.009143656193418,0.28965355919848335
10,2844.7700499866373,0.9645972219762301,0.22656961863496286
