"",tSNE_1,tSNE_2,Cluster
2_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,-7.30669605321392,-0.863289978873926,6
0_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,-5.53314383750667,-4.0509466063582,2
6_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,-26.0846848658857,-9.05111754912922,1
4_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,0.596442957531287,-16.4629404626513,2
5_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,-4.45307784540775,35.046191043652,6
3_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,23.2960091380618,-2.03766354568233,4
1_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,-8.68459428890632,-1.80276845369553,6
7_#_BRCA_00000_TCGA-3C-AALI-01Z-00-DX1,27.9147245624207,15.5528978419974,7
0_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,0.992605683517093,-17.1132044624902,7
5_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,-13.4880024580443,31.3462147336851,6
3_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,23.2434703008253,-2.16572739354226,4
1_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,-13.3994098052446,31.6792685678834,6
4_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,-5.52245396009381,-4.10760730056768,2
6_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,-12.9917247015899,33.721855568068,6
2_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,-4.34089021363315,34.6308062250591,6
7_#_BRCA_00001_TCGA-3C-AALI-01Z-00-DX2,0.621859966835506,-16.4739515668461,2
0_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,0.367574705739893,-12.5363384086527,5
1_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,0.598974386016273,-17.0089509450131,7
3_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,0.160319979549491,-18.022660695646,7
2_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,26.7341828692627,-19.3772551502433,4
5_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,-8.34054090732836,-3.73374432840695,6
4_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,28.1798223158733,-22.8219538977849,4
6_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,0.36333630771368,-13.460272641912,2
7_#_BRCA_00002_TCGA-3C-AALJ-01Z-00-DX1,0.0101076166909088,-18.0673917231331,7
1_#_BRCA_00003_TCGA-3C-AALJ-01Z-00-DX2,0.295759432154641,-12.8749055489024,2
4_#_BRCA_00003_TCGA-3C-AALJ-01Z-00-DX2,0.279600121989258,-12.5793682474619,5
0_#_BRCA_00003_TCGA-3C-AALJ-01Z-00-DX2,0.378725561966544,-12.5038432435224,5
3_#_BRCA_00003_TCGA-3C-AALJ-01Z-00-DX2,0.413171227096222,-12.3620164885115,1
2_#_BRCA_00003_TCGA-3C-AALJ-01Z-00-DX2,0.287009326233777,-17.8601789074653,7
6_#_BRCA_00003_TCGA-3C-AALJ-01Z-00-DX2,16.0967123355972,-15.08440527393,4
5_#_BRCA_00003_TCGA-3C-AALJ-01Z-00-DX2,7.86600785826833,-21.7586276542222,9
1_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,24.6013740548543,-12.6802381311517,4
0_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,-9.23292519752682,6.33470196758617,5
2_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,21.9119345081411,-2.39165432902212,4
4_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,-13.518232085487,-5.65724951429179,2
3_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,28.119315523718,14.9552586665588,7
5_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,2.05253107558981,20.1321235535366,1
7_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,25.1396386789634,-5.30777988294634,4
6_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,20.6014325696167,-2.98961201748098,2
8_#_BRCA_00004_TCGA-3C-AALK-01Z-00-DX1,-24.1421615003634,-0.213522526685165,5
6_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.66131785926634,6.64372760079566,1
1_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.32757329860846,6.1579533495264,1
7_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.65081205230588,6.53634267211367,1
0_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.65813952146931,6.63610537440162,1
3_#_BRCA_00005_TCGA-4H-AAAK-01Z-00-DX1,8.5517602486964,6.62773925615116,1
