gene
A2M
AAMDC
ABCA3
ABCA7
ABCF3
ABHD14A
ABHD4
ACAA1
ACER3
ADAM15
ADCY3
ADI1
AEBP1
AES
AGAP2
AGO2
AGPAT2
AGR2
AHCY
AKAP9
AKR1A1
AKT1S1
ALDH16A1
ALG3
ANGPTL4
ANKLE2
ANKRD12
ANKRD28
ANO10
AP5B1
AP5Z1
APBA2
APBB2
APOBEC3G
APOC1
AQP1
ARF5
ARF6
ARFGEF2
ARHGAP10
ARHGAP4
ARHGAP45
ARHGAP5
ARHGEF10L
ARHGEF3
ARHGEF40
ARID1B
ARID3A
ARID4A
ARID5A
ARID5B
ARNT
ASCL2
ASH2L
ASL
ASMTL
ASNA1
ASNS
ATAD1
ATF6B
ATG12
ATG16L2
ATL2
ATP5H
ATP5O
ATP6AP1
ATP6V0D1
AURKAIP1
AVEN
BABAM1
BAD
BAIAP3
BCAM
BCL2L12
BGN
BICDL1
BIN3
BIRC2
BOK
BOLA3
BRD9
BRF1
BRF2
BRK1
BRPF1
BSG
BST2
BTG1
C10orf10
C10orf54
C12orf45
C15orf61
C19orf24
C19orf52
C19orf60
C1QB
C1R
C1S
C1orf216
C2
C2CD2L
C3
C4orf48
C5orf38
C6orf136
C6orf48
CADM4
CALML5
CAMTA2
CAPG
CARS2
CBLC
CCDC106
CCDC167
CCDC57
CCDC80
CCDC88B
CCL19
CCL2
CCL21
CCM2
CCNB1IP1
CCNE2
CCS
CCT4
CD14
CD320
CD3D
CD4
CD52
CD68
CD74
CD79A
CDH11
CDK5RAP1
CEP250
CERCAM
CERS5
CES2
CFAP36
CFDP1
CGGBP1
CHCHD6
CHD1
CHD6
CHFR
CHST11
CIR1
CLASRP
CLDN3
CLDN4
CLU
CNN2
COL14A1
COL3A1
COL4A1
COL6A2
COL8A2
COMMD1
COMP
COPS7A
COQ4
CORO1A
CORO1B
CORO2A
CORO7
COX5A
CPNE1
CPSF1
CPVL
CRABP2
CRACR2B
CRELD2
CROCC
CSF1
CSF1R
CTDSPL
CTIF
CTSK
CTU2
CUTC
CUX1
CX3CL1
CXCL10
CXXC5
CYP27A1
DAPK3
DCAF6
DCXR
DDAH1
DDB2
DDIT3
DDRGK1
DDT
DEAF1
DENND1A
DERL3
DESI1
DHX16
DLG1
DMAP1
DNAJB2
DNAJC1
DNAJC7
DOCK6
DPH3
DPM2
DPP7
DPP9
DPYSL3
DVL1
EBAG9
ECHDC2
ECM1
EFEMP2
EFHD2
EIF1AD
EIF3B
EIF3F
EIF3G
ELN
ELOF1
EMC3
ENPP1
EPHB3
ERAL1
ERI3
ERMP1
ETFB
EVA1B
EXD3
EXOC5
EXOSC1
EXOSC10
EXOSC2
EZH2
FAAH
FADS2
FAH
FAIM2
FAM102A
FAM117A
FAM118A
FAM160B1
FAM173A
FAM193B
FAM213B
FAM3A
FAM45A
FAP
FARP1
FARSB
FASN
FBF1
FBLN2
FCER1G
FDPS
FGFR1
FKBP10
FKBP8
FLNA
FN1
FNBP4
FOXP4
FSTL1
FSTL3
FUOM
FUS
FZD2
GALK1
GANAB
GAR1
GAS6
GATA3
GATC
GBP1
GBP2
GBP3
GBP4
GBP5
GEMIN4
GLCCI1
GLG1
GLTSCR2
GMFG
GMPPA
GNAI2
GNAS
GNL2
GPR108
GPRC5A
GPS1
GPSM1
GPX3
GRK3
GSK3A
GSTM3
GYPC
HAGHL
HCFC1R1
HCST
HDAC5
HDAC6
HELZ2
HES1
HLA.B
HLA.DMA
HLA.DMB
HLA.DOA
HLA.DPA1
HLA.DPB1
HLA.DRA
HLA.DRB1
HMGB2
HNRNPUL2
HOOK3
HPS6
HSD17B1
HSPA4
HSPB1
HSPB11
HYI
IDH3G
IDUA
IER5L
IFI27
IFI27L1
IFI44L
IGFBP2
IGFBP4
IGHA1
IGHG3
IGHG4
IGHM
IGKC
IGLC2
IGLC3
IGLC7
IKZF3
IL10RA
ILKAP
INAFM1
INPP4B
INPP5D
INPP5J
INTS8
ISG15
ISLR
ITGA5
ITGB4
ITGB6
ITSN1
JAG2
JAK1
JAK3
JCHAIN
JMJD6
KAT6B
KATNA1
KCNAB2
KCTD10
KDM4B
KIAA0895L
KIAA1211L
KIAA1217
KIAA1468
KIAA1715
KIF13B
KLF9
KMT2B
KMT2E
KPNB1
KRAS
KRT10
KRT17
KRT8
KRT86
LAMB2
LAMTOR2
LANCL1
LARP1B
LARP7
LCK
LCP1
LGALS1
LIMCH1
LIMK1
LINC00176
LINGO1
LLGL1
LMF1
LMNA
LRRC8A
LRWD1
LST1
LTB4R
LTBP3
LTF
LUC7L
LUC7L3
LUM
LYL1
MAGEF1
MAGI1
MAGOHB
MAP1S
MAP3K14
MAP3K6
MAP4K2
MAPK9
MAPKAPK5
MARS
MAVS
MCTS1
MED13L
MED25
MEN1
METTL12
METTL16
MFAP4
MFSD3
MFSD7
MGMT
MGP
MIB2
MICAL1
MICALL2
MID1IP1
MIF
MIIP
MKNK1
MLLT4
MLST8
MMP9
MORC2
MPND
MPST
MRPL2
MRPL21
MRPL23
MRPL51
MRPL54
MRPS22
MS4A6A
MST1R
MTG2
MTMR12
MUC1
MUCL1
MUS81
MVP
MX2
MYH10
MYL12B
MYL6B
MYL9
MYO1G
MYO9B
MZT2A
NAA10
NANS
NCKAP1L
NCKAP5L
NDRG1
NDUFA1
NDUFA12
NDUFB2
NDUFB3
NDUFB9
NDUFC1
NDUFS1
NDUFV3
NEBL
NEK7
NELFE
NFATC4
NFIC
NINJ1
NIT2
NMRAL1
NR1H2
NR4A1
NRP1
NSMCE1
NTMT1
NUP214
NUP93
NXN
OASL
OGFRL1
OPTN
ORC2
OSBPL8
P4HA2
PAF1
PAFAH1B3
PAQR4
PARN
PCCB
PCIF1
PDCD5
PDGFRA
PDGFRB
PER1
PEX11G
PEX14
PGLS
PHF11
PHF13
PHF21A
PHKB
PIGQ
PIH1D1
PILRA
PIM2
PITX1
PKNOX1
PLAC9
PLEKHO2
PLIN2
PLK1
PLK2
PLLP
PLP2
PLPPR2
PLSCR1
PLTP
PLVAP
PLXNA1
PLXND1
PMP22
PNISR
PNMT
PNP
PNPLA6
PODNL1
PODXL
POLR2E
POLR2J
POR
POSTN
PPHLN1
PPIB
PPIH
PPM1G
PPP1R1A
PPP1R1B
PPP1R37
PRKAB1
PRKCSH
PROSER1
PRPF6
PRPSAP1
PSCA
PSMD4
PSTPIP1
PTGDS
PTOV1
PTP4A3
PTPRC
PTPRJ
PTRF
PTRH1
PUS3
PWP1
PWWP2B
PXDN
PYURF
QSOX1
R3HDM2
RAB11FIP1
RAB3A
RAB3GAP1
RAB3IL1
RABGAP1L
RALBP1
RALGAPA2
RAMP2
RAP1B
RARS2
RASA2
RASGRP2
RASSF3
RBL1
RBM42
RECQL4
RECQL5
REEP6
RGS1
RHOB
RIOK1
RMND1
RNASET2
RND3
RNF135
RNF170
RRAS
RSL1D1
RSRP1
RUVBL1
S100A14
S100A9
SAMM50
SASH1
SAT1
SCAF1
SCD
SCNN1D
SCX
SDHB
SEC14L2
SEC23A
SEMA3B
SEMA4B
SF3B4
SFSWAP
SGTA
SH3BP5L
SIGLEC1
SIGMAR1
SLC16A2
SLC16A3
SLC22A18
