gene
A2M
ACADVL
ACTB
ACTG1
ACTN1
ACTN4
ACTR3
ADAM15
ADAR
ADRM1
AEBP1
AHCY
AHNAK
AK2
AKR1A1
AL627309.1
ANAPC11
ANAPC16
ANP32B
ANXA1
ANXA11
ANXA2
ANXA5
AP2M1
AP2S1
APLP2
APOE
APP
APRT
ARF1
ARF4
ARHGDIA
ARL6IP1
ARL6IP4
ARL6IP5
ARPC1A
ARPC1B
ARPC2
ARPC3
ARPC4
ARPC5
ASAH1
ASPH
ATF4
ATOX1
ATP1A1
ATP1B3
ATP5F1A
ATP5F1B
ATP5F1C
ATP5F1D
ATP5F1E
ATP5IF1
ATP5MC1
ATP5MC2
ATP5MC3
ATP5MD
ATP5ME
ATP5MF
ATP5MG
ATP5MPL
ATP5PB
ATP5PD
ATP5PF
ATP5PO
ATP6AP1
ATP6AP2
ATP6V0B
ATP6V0C
ATP6V0E1
ATP6V1F
ATP6V1G1
AURKAIP1
AZIN1
B2M
B4GALT1
BAG6
BANF1
BCAP31
BEX3
BGN
BRI3
BRK1
BSG
BST2
BTF3
BUD31
BZW1
C11orf58
C12orf57
C19orf53
C1QA
C1QB
C1R
C1S
C1orf43
C3
C4orf3
C6orf62
C9orf16
CACYBP
CALD1
CALM1
CALM2
CALM3
CALR
CALU
CANX
CAP1
CAPG
CAPN2
CAPNS1
CAPRIN1
CAPZA1
CAPZB
CBX3
CCN2
CCNI
CCT3
CCT4
CCT5
CCT6A
CCT7
CCT8
CD151
CD164
CD24
CD44
CD46
CD59
CD63
CD74
CD81
CD9
CD99
CDC37
CDC42
CDK2AP1
CEBPB
CEBPD
CENPX
CFL1
CHCHD1
CHCHD10
CHCHD2
CHD4
CIRBP
CKS1B
CKS2
CLDN4
CLIC1
CLIC4
CLPTM1L
CLSTN1
CLTA
CLTC
CLU
CMPK1
CNBP
CNN3
CNPY2
COL1A1
COL1A2
COL3A1
COL4A1
COL6A1
COL6A2
COLGALT1
COMMD6
COPA
COPE
COPS9
COPZ1
COTL1
COX20
COX4I1
COX5A
COX5B
COX6A1
COX6B1
COX6C
COX7A2
COX7B
COX7C
COX8A
CRIP1
CRIP2
CSDE1
CSNK1A1
CSNK2B
CSRP1
CST3
CSTB
CTNNA1
CTNNB1
CTSA
CTSB
CTSD
CTSZ
CTTN
CUTA
CYB5R3
CYBA
CYC1
CYCS
DAD1
DAZAP2
DBI
DCXR
DDB1
DDIT4
DDR1
DDT
DDX17
DDX39B
DDX3X
DDX5
DEK
DMAC1
DNAJA1
DNAJB1
DNAJB6
DPM3
DSP
DSTN
DUS1L
DUSP23
DYNC1H1
DYNLL1
DYNLRB1
DYNLT1
EDF1
EEF1A1
EEF1B2
EEF1D
EEF1G
EEF2
EFNA1
EIF1
EIF1AX
EIF2S2
EIF2S3
EIF3B
EIF3D
EIF3E
EIF3F
EIF3G
EIF3H
EIF3I
EIF3K
EIF3M
EIF4A1
EIF4A2
EIF4B
EIF4EBP1
EIF4G1
EIF4G2
EIF4H
EIF5A
EIF6
ELF3
ELOB
ELOC
ELOVL1
ENAH
ENO1
ENSA
ENY2
EPCAM
ERGIC3
ERH
ERP29
EWSR1
EZR
FABP5
FASN
FAU
FBL
FDPS
FIS1
FKBP1A
FKBP4
FKBP8
FLNA
FLNB
FN1
FSTL1
FTH1
FTL
FUS
FXYD3
FXYD5
G3BP1
GABARAP
GADD45GIP1
GANAB
GAPDH
GAS5
GDI2
GHITM
GLO1
GLUL
GNAI2
GNAS
GNB1
GNB2
GNG5
GOLPH3
GPAA1
GPI
GPNMB
GPX4
GRINA
GRN
GSN
GSTO1
GSTP1
GTF2I
GUK1
H1FX
H2AFJ
H2AFV
H2AFY
H2AFZ
H3F3A
H3F3B
HADHA
HDGF
HDLBP
HEBP2
HIF1A
HIGD2A
HINT1
HLA-A
HLA-B
HLA-C
HLA-DPA1
HLA-DPB1
HLA-DRA
HLA-DRB1
HLA-E
HM13
HMGA1
HMGB1
HMGN1
HMGN2
HMGN3
HNRNPA0
HNRNPA1
HNRNPA2B1
HNRNPA3
HNRNPAB
HNRNPC
HNRNPD
HNRNPDL
HNRNPF
HNRNPH1
HNRNPK
HNRNPL
HNRNPM
HNRNPR
HNRNPU
HNRNPUL1
HSBP1
HSF1
HSP90AA1
HSP90AB1
HSP90B1
HSPA1A
HSPA5
HSPA8
HSPA9
HSPB1
HSPD1
HSPE1
HSPG2
IDH2
IER2
IFI27
IFI30
IFI6
IFITM3
IFNGR2
IGFBP4
IGFBP7
IGKC
ILF2
ILF3
IMPDH2
IRAK1
IRF2BP2
ISG15
ITGB1
ITM2B
JPT1
JTB
JUN
JUNB
JUND
JUP
KARS
KDELR1
KDELR2
KHDRBS1
KLF6
KPNA2
KRT18
KRT19
KRT7
KRT8
KRTCAP2
LAMP1
LAMP2
LAMTOR1
LAMTOR2
LAMTOR4
LAMTOR5
LAPTM4A
LAPTM4B
LAPTM5
LDHA
LDHB
LGALS1
LGALS3
LGALS3BP
LITAF
LMAN2
LMNA
LSM2
LSM4
LSM7
LUM
LY6E
MAF1
MAGED1
MAGED2
MALAT1
MAP2K2
MAPKAPK2
MARCKS
